date,WEIGHTED_ILI,UNWEIGHTED_ILI,AGE_0-4,AGE_5-24,ILITOTAL,NUM_OF_PROVIDERS,OT
11/10/09 0:00,0.847437,0.763051,1378,1307,4008,1212,525260
11/17/09 0:00,0.888273,0.841043,1485,1592,4518,1225,537190
11/24/09 0:00,0.765372,0.791573,1520,1592,4420,1235,558382
12/1/09 0:00,0.91858,0.912732,1564,1866,5007,1170,548573
12/8/09 0:00,1.01432,1.03398,1850,1959,5493,1198,531250
12/15/09 0:00,1.01233,0.934009,1720,2118,5510,1210,589930
12/22/09 0:00,1.11803,1.08189,2134,2510,6741,1206,623077
12/29/09 0:00,1.11806,1.06563,1995,2383,6387,1254,599366
1/5/10 0:00,1.10939,1.13505,2627,3142,8473,1838,746485
1/12/10 0:00,1.24341,1.25256,2953,3522,9347,1875,746230
1/19/10 0:00,1.25726,1.2457,3044,3641,9684,1907,777397
1/26/10 0:00,1.25734,1.26774,3226,3822,9904,1929,781234
2/2/10 0:00,1.43414,1.43723,3451,4397,11020,1947,766753
2/9/10 0:00,1.51838,1.53341,3927,4679,11807,1940,769982
2/16/10 0:00,1.61617,1.69445,4416,5322,13336,1921,787038
2/23/10 0:00,1.84378,1.9915,4598,4145,12079,1938,606527
3/2/10 0:00,1.72535,1.81305,5045,4978,13997,1964,772016
3/9/10 0:00,1.87923,2.01426,5060,5867,14958,1936,742606
3/16/10 0:00,2.3371,2.55659,6300,7194,18022,1916,704923
3/23/10 0:00,3.03533,3.38185,7295,7071,19899,1840,588406
3/30/10 0:00,3.136,3.43172,7478,5764,20346,1887,592880
4/6/10 0:00,2.53336,2.69151,6584,6342,20026,1923,744043
4/13/10 0:00,2.91288,2.91063,6238,7773,20721,1921,711908
4/20/10 0:00,3.44497,3.49232,7247,11243,26257,1964,751850
4/27/10 0:00,4.16185,4.0037,8007,15291,31975,1947,798637
5/4/10 0:00,4.55159,4.43534,8195,16366,34284,1970,772974
5/11/10 0:00,4.46504,4.24215,8036,16516,34456,1961,812230
5/18/10 0:00,4.55124,4.39719,8172,17493,36567,1910,831600
5/25/10 0:00,4.0822,3.90256,7839,13718,31277,1908,801449
6/1/10 0:00,3.38812,3.15073,6376,10496,24627,1860,781629
6/8/10 0:00,2.99142,2.72422,5691,8427,20377,1829,747993
6/15/10 0:00,2.61542,2.33336,5363,6702,17309,1823,741807
6/22/10 0:00,2.09065,1.925,4400,5489,14031,1790,728883
6/29/10 0:00,1.86146,1.75243,4189,5025,12957,1770,739375
7/6/10 0:00,1.61377,1.57704,3701,4557,11498,1723,729089
7/13/10 0:00,1.42199,1.35766,3164,3562,9391,1681,691707
7/20/10 0:00,1.3382,1.31223,3139,3064,8695,1651,662612
7/27/10 0:00,1.19995,1.14937,2895,2673,7830,1612,681240
8/3/10 0:00,1.14889,1.11451,2532,2553,7307,1585,655627
8/10/10 0:00,1.12194,1.10984,2551,2595,7236,1556,651983
8/17/10 0:00,1.06712,1.0524,2353,2280,6530,1516,620485
8/24/10 0:00,1.05058,1.03536,2213,2110,6072,1381,586460
8/31/10 0:00,1.15203,1.11777,2249,1980,5946,1357,531954
9/7/10 0:00,0.970975,0.982949,2040,1760,5547,1296,564322
9/14/10 0:00,0.894683,0.925194,1812,1599,4989,1279,539238
9/21/10 0:00,0.843568,0.835531,1604,1422,4448,1251,532356
9/28/10 0:00,0.815409,0.832393,1472,1462,4218,1225,506732
10/5/10 0:00,0.823052,0.855591,1423,1269,4009,1211,468565
10/12/10 0:00,0.674635,0.706949,1255,1206,3721,1220,526346
10/19/10 0:00,0.631883,0.694387,1243,1184,3597,1203,518011
10/26/10 0:00,0.641513,0.687976,1251,1188,3538,1179,514262
11/2/10 0:00,0.529813,0.644743,1088,1125,3202,1175,496632
11/9/10 0:00,0.644089,0.67533,1207,1223,3523,1175,521671
11/16/10 0:00,0.667718,0.72823,1342,1358,3874,1191,531975
11/23/10 0:00,0.705668,0.806526,1505,1600,4444,1195,551005
11/30/10 0:00,0.804155,0.860408,1528,1781,4717,1200,548228
12/7/10 0:00,0.907804,0.936075,1622,1809,4813,1184,514168
12/14/10 0:00,1.00555,0.966683,1788,2206,5567,1196,575887
12/21/10 0:00,1.03601,0.996007,1816,2264,5822,1201,584534
12/28/10 0:00,1.07583,1.10846,2248,2514,6708,1213,605162
1/4/11 0:00,1.16092,1.20345,3106,3485,9365,1850,778182
1/11/11 0:00,1.19785,1.23777,3317,3667,9803,1883,791987
1/18/11 0:00,1.27926,1.25259,3324,3837,9958,1905,794995
1/25/11 0:00,1.29194,1.30546,3453,4035,10298,1900,788840
2/1/11 0:00,1.42824,1.45295,3634,4658,11396,1925,784334
2/8/11 0:00,1.39803,1.44089,3949,4348,11496,1946,797839
2/15/11 0:00,1.45831,1.46221,3923,4361,11721,1900,801594
2/22/11 0:00,1.56548,1.65573,4125,3340,10377,1918,626731
3/1/11 0:00,1.34313,1.46606,4237,3955,11479,1904,782984
3/8/11 0:00,1.48139,1.51811,3995,4040,11187,1898,736905
3/15/11 0:00,1.63398,1.66429,4579,4097,12137,1872,729258
3/22/11 0:00,1.83126,1.85274,5016,3535,11958,1851,645424
3/29/11 0:00,2.10451,2.12413,5243,3184,12356,1821,581697
4/5/11 0:00,1.73625,1.76709,4514,3393,11992,1891,678631
4/12/11 0:00,1.55066,1.5434,4059,3636,11543,1883,747894
4/19/11 0:00,1.62891,1.64762,4364,4030,11939,1887,724623
4/26/11 0:00,1.76038,1.6843,4766,4802,13209,1891,784244
5/3/11 0:00,1.92728,1.86354,5218,5336,14448,1885,775298
5/10/11 0:00,1.91994,1.86408,5028,5555,14624,1875,784516
5/17/11 0:00,2.09951,2.01839,5277,5994,15929,1884,789193
5/24/11 0:00,2.23973,2.10385,5246,5990,16137,1853,767022
5/31/11 0:00,2.21921,2.09555,5219,6239,16518,1826,788242
6/7/11 0:00,2.16693,2.10398,4811,6493,15763,1816,749198
6/14/11 0:00,2.38913,2.2941,5175,6768,17150,1819,747570
6/21/11 0:00,1.96466,1.92223,4422,5683,14524,1780,755579
6/28/11 0:00,1.84229,1.74239,3807,5256,13017,1753,747079
7/5/11 0:00,1.68674,1.67601,3582,4631,11930,1729,711808
7/12/11 0:00,1.53136,1.49637,3253,4059,10732,1707,717202
7/19/11 0:00,1.37912,1.38202,3001,4020,10123,1699,732480
7/26/11 0:00,1.29515,1.28926,2638,3802,9370,1675,726772
8/2/11 0:00,1.39521,1.35803,2509,3671,8999,1564,662649
8/9/11 0:00,1.32522,1.30833,2524,3468,8576,1546,655492
8/16/11 0:00,1.23059,1.26692,2465,3087,8062,1503,636347
8/23/11 0:00,1.23028,1.27731,2545,3011,7878,1415,616765
8/30/11 0:00,1.26877,1.2991,2480,2601,7153,1409,550614
9/6/11 0:00,1.10782,1.16297,2336,2352,6765,1365,581700
9/13/11 0:00,1.09559,1.08612,2231,2024,6133,1289,564670
9/20/11 0:00,1.11031,1.0568,2259,1974,6048,1295,572296
9/27/11 0:00,1.10616,1.07871,2168,1850,5786,1260,536380
10/4/11 0:00,1.10816,1.04662,1911,1706,5291,1271,505533
10/11/11 0:00,0.999444,0.928152,1913,1751,5185,1240,558637
10/18/11 0:00,0.924199,0.901936,1818,1640,4931,1223,546713
10/25/11 0:00,0.949257,0.915356,1752,1721,5103,1250,557488
11/1/11 0:00,0.978903,0.952548,1728,1706,5159,1240,541600
11/8/11 0:00,0.925024,0.916661,1660,1718,5026,1248,548294
11/15/11 0:00,0.848456,0.901787,1721,1755,5051,1238,560110
11/22/11 0:00,1.04451,1.03315,2098,2128,6141,1238,594395
11/29/11 0:00,1.0986,1.05238,1958,2335,6318,1238,600354
12/6/11 0:00,1.22071,1.12713,1886,2294,6296,1242,558585
12/13/11 0:00,1.24976,1.1866,2176,2870,7382,1252,622114
12/20/11 0:00,1.22892,1.21415,2295,2972,7656,1268,630563
12/27/11 0:00,1.29393,1.25198,2421,2867,7807,1248,623572
1/3/12 0:00,1.23034,1.20559,2773,3691,9395,1932,779285
1/10/12 0:00,1.3278,1.31929,2960,4007,10158,1940,769959
1/17/12 0:00,1.33995,1.32737,3202,4233,10585,1968,797444
1/24/12 0:00,1.37842,1.36688,3346,4268,10913,1958,798388
1/31/12 0:00,1.50085,1.50535,3326,4422,11061,1929,734781
2/7/12 0:00,1.65163,1.61273,3733,5145,12674,1974,785871
2/14/12 0:00,1.76746,1.75208,4034,5526,13623,1966,777534
2/21/12 0:00,2.30609,2.33365,4651,5387,14650,1968,627772
2/28/12 0:00,2.16324,2.2268,5102,7018,18521,2006,831730
3/6/12 0:00,2.83038,2.97657,6486,10857,24877,2006,835762
3/13/12 0:00,3.43761,3.62552,7446,12945,29432,1977,811800
3/20/12 0:00,4.30554,4.5532,8546,13971,34332,1908,754019
3/27/12 0:00,6.06082,6.02598,9709,11391,36588,1905,607171
4/3/12 0:00,4.64931,4.96368,8444,9108,34103,1982,687051
4/10/12 0:00,4.32584,4.69072,8297,13424,39896,1995,850531
4/17/12 0:00,4.51113,4.70473,8633,15992,39441,2008,838326
4/24/12 0:00,4.2171,4.1646,7441,13439,32426,1978,778610
5/1/12 0:00,3.78956,3.69533,6609,12653,29808,1963,806640
5/8/12 0:00,3.29206,3.2363,5757,10816,24987,1931,772086
5/15/12 0:00,3.0197,2.89421,5289,9395,22321,1926,771229
5/22/12 0:00,2.71499,2.71742,5099,8415,20519,1940,755092
5/29/12 0:00,2.4845,2.52297,4633,7981,19231,1893,762238
6/5/12 0:00,2.57808,2.55227,4791,7709,18829,1884,737736
6/12/12 0:00,2.39237,2.43225,4480,7065,17392,1846,715059
6/19/12 0:00,2.06778,2.10851,3957,6095,15254,1825,723449
6/26/12 0:00,1.90281,1.94725,3830,5204,13714,1811,704276
7/3/12 0:00,1.65902,1.74859,3516,4299,12273,1769,701881
7/10/12 0:00,1.43006,1.49713,3110,3929,10818,1742,722583
7/17/12 0:00,1.27757,1.32313,2707,3509,9188,1732,694415
7/24/12 0:00,1.19009,1.22647,2588,3364,8589,1711,700300
7/31/12 0:00,1.09556,1.19614,2439,3142,7986,1675,667648
8/7/12 0:00,1.08589,1.19049,2422,2877,7704,1630,647130
8/14/12 0:00,1.07343,1.17426,2431,2583,7317,1582,623114
8/21/12 0:00,1.01677,1.13342,2230,2219,6589,1489,581338
8/28/12 0:00,1.04847,1.14306,2109,2094,6190,1486,541528
9/4/12 0:00,0.920349,1.00881,1983,1779,5638,1421,558875
9/11/12 0:00,0.920779,1.02358,1969,1713,5539,1419,541138
9/18/12 0:00,0.904333,1.00138,1877,1766,5474,1405,546643
9/25/12 0:00,0.83057,0.909498,1703,1581,4915,1389,540408
10/2/12 0:00,0.862837,0.950042,1594,1489,4506,1357,474295
10/9/12 0:00,0.732182,0.829299,1576,1491,4510,1362,543833
10/16/12 0:00,0.724558,0.802109,1432,1405,4186,1341,521874
10/23/12 0:00,0.740848,0.806333,1416,1464,4233,1325,524969
10/30/12 0:00,0.726037,0.796937,1216,1284,3886,1290,487617
11/6/12 0:00,0.755639,0.779136,1367,1338,4075,1299,523015
11/13/12 0:00,0.761847,0.797653,1364,1366,4168,1276,522533
11/20/12 0:00,0.779896,0.825485,1331,1561,4317,1265,522965
11/27/12 0:00,0.899138,0.935469,1499,1814,5053,1260,540157
12/4/12 0:00,0.999524,1.04345,1681,2035,5626,1317,539175
12/11/12 0:00,1.0558,1.09107,1926,2437,6374,1307,584196
12/18/12 0:00,1.0967,1.20108,2175,2683,7110,1290,591969
12/25/12 0:00,1.24709,1.26179,2393,2963,7963,1364,631088
1/1/13 0:00,1.15746,1.13249,2974,3769,9677,1960,854487
1/8/13 0:00,1.27184,1.21121,3276,3925,10420,1990,860298
1/15/13 0:00,1.31623,1.25682,3483,3880,10658,2018,848016
1/22/13 0:00,1.37444,1.37097,3930,4484,12036,2027,877917
1/29/13 0:00,1.46781,1.42956,4045,4642,12502,2028,874537
2/5/13 0:00,1.5834,1.53588,4434,5062,13498,2017,878845
2/12/13 0:00,1.60253,1.60267,4643,5000,13927,2054,868987
2/19/13 0:00,1.72344,1.73267,4835,5579,15168,2012,875411
2/26/13 0:00,2.11076,2.09858,4937,4313,13975,2042,665926
3/5/13 0:00,2.1708,2.21374,5549,6579,18920,2055,854664
3/12/13 0:00,2.36971,2.41674,5501,7046,19398,2054,802651
3/19/13 0:00,3.15997,3.03071,6555,8406,24697,2009,814891
3/26/13 0:00,4.59053,4.38724,7814,7485,26988,2007,615148
4/2/13 0:00,4.28195,4.2112,7488,6726,28654,2033,680424
4/9/13 0:00,3.56288,3.46492,6233,7881,28147,2059,812343
4/16/13 0:00,3.36378,3.31698,6007,9517,28370,2049,855297
4/23/13 0:00,3.39659,3.2407,5878,8858,25502,2062,786928
4/30/13 0:00,3.11922,2.88598,5133,8714,23484,2051,813726
5/7/13 0:00,2.83572,2.62172,4729,7711,21085,2051,804244
5/14/13 0:00,2.48484,2.34067,4210,6717,18195,2018,777340
5/21/13 0:00,2.2741,2.12059,4250,6121,17234,2025,812700
5/28/13 0:00,2.07244,1.91094,3953,5875,15914,1978,832786
6/4/13 0:00,1.98207,1.9023,3775,5575,15044,1944,790831
6/11/13 0:00,1.82441,1.76619,3616,5022,14024,1904,794024
6/18/13 0:00,1.82036,1.85791,3798,5611,14926,1922,803374
6/25/13 0:00,1.75391,1.82094,3523,5812,14661,1887,805133
7/2/13 0:00,1.74542,1.83453,3582,5659,14637,1866,797863
7/9/13 0:00,1.67236,1.75446,3574,5587,14206,1845,809707
7/16/13 0:00,1.51659,1.51636,3130,4279,11723,1810,773101
7/23/13 0:00,1.44778,1.40334,2846,3770,10814,1771,770592
7/30/13 0:00,1.29028,1.2593,2501,3591,9648,1746,766139
8/6/13 0:00,1.37388,1.32482,2789,3615,9775,1714,737834
8/13/13 0:00,1.34208,1.27576,2544,3256,9033,1660,708049
8/20/13 0:00,1.34563,1.29483,2733,3068,8797,1570,679395
8/27/13 0:00,1.21291,1.2261,2528,2459,7658,1554,624582
9/3/13 0:00,1.19291,1.14538,2383,2349,7229,1461,631143
9/10/13 0:00,1.14146,1.0678,2227,2181,6783,1461,635233
9/17/13 0:00,1.06503,1.07269,2159,2009,6369,1392,593740
9/24/13 0:00,1.12669,1.01298,2049,1917,6038,1411,596063
10/1/13 0:00,0.947353,0.994705,1865,1688,5352,1388,538049
10/8/13 0:00,0.944187,0.880862,1758,1623,5295,1394,601116
10/15/13 0:00,0.934822,0.858173,1582,1621,5083,1376,592305
10/22/13 0:00,0.81736,0.805152,1455,1450,4765,1372,591814
10/29/13 0:00,0.852792,0.818781,1450,1655,4942,1378,603580
11/5/13 0:00,0.746994,0.783735,1460,1528,4744,1382,605307
11/12/13 0:00,0.761098,0.848703,1528,1631,4980,1369,586778
11/19/13 0:00,0.767627,0.834146,1569,1813,5305,1371,635980
11/26/13 0:00,0.862176,0.905981,1684,2184,5799,1353,640080
12/3/13 0:00,0.984907,1.04506,1753,2258,6050,1352,578913
12/10/13 0:00,1.16287,1.16816,2300,3316,8130,1401,695966
12/17/13 0:00,1.22731,1.27649,2535,3650,8888,1405,696282
12/24/13 0:00,1.2071,1.29758,2522,3447,8874,1407,683887
12/31/13 0:00,1.16191,1.20612,2958,3994,10150,1937,841540
1/7/14 0:00,1.30905,1.32485,3055,4437,10977,1960,828544
1/14/14 0:00,1.37072,1.41192,3442,4728,11941,2000,845727
1/21/14 0:00,1.43373,1.42547,3455,4955,12292,2008,862314
1/28/14 0:00,1.42791,1.43909,3632,5102,12313,2053,855608
2/4/14 0:00,1.61605,1.61532,4277,5799,13853,2058,857601
2/11/14 0:00,1.65976,1.66473,4424,5816,14062,1997,844700
2/18/14 0:00,2.05459,2.0058,4740,7322,16674,2058,831289
2/25/14 0:00,2.53541,2.62227,5432,6848,17602,2067,671251
3/4/14 0:00,2.54253,2.60749,6185,9106,22905,2097,878430
3/11/14 0:00,3.60563,3.4178,7424,13050,29172,2069,853532
3/18/14 0:00,4.90976,4.46555,9270,16418,37382,2016,837119
3/25/14 0:00,5.98221,6.11497,10363,13951,40533,1984,662849
4/1/14 0:00,5.47421,5.30979,9732,9406,36891,1983,694773
4/8/14 0:00,4.21374,4.07898,7160,9589,31483,1958,771835
4/15/14 0:00,4.21022,3.93762,7044,11966,31204,1971,792459
4/22/14 0:00,4.25968,4.15076,7840,13949,33221,1966,800359
4/29/14 0:00,3.97761,3.87899,7118,13159,30621,1955,789407
5/6/14 0:00,3.63443,3.45794,6656,12093,28151,1950,814097
5/13/14 0:00,3.26527,3.06359,6429,10328,25218,1917,823153
5/20/14 0:00,2.93083,2.82646,5537,8164,21109,1907,746836
5/27/14 0:00,2.54474,2.3599,4823,7280,19178,1934,812660
6/3/14 0:00,2.47227,2.33472,4639,7116,18441,1912,789858
6/10/14 0:00,2.35665,2.21286,4710,6748,17833,1907,805881
6/17/14 0:00,2.17008,2.07619,4559,6084,16695,1883,804117
6/24/14 0:00,2.04297,2.01267,4418,6003,16122,1848,801027
7/1/14 0:00,1.954,1.94192,4174,5623,14975,1819,771143
7/8/14 0:00,1.72287,1.74809,3903,4634,13733,1820,785602
7/15/14 0:00,1.53694,1.50367,3448,4214,12044,1813,800974
7/22/14 0:00,1.38283,1.43494,3182,4011,10860,1768,756827
7/29/14 0:00,1.46265,1.45673,3203,4280,11095,1753,761638
8/5/14 0:00,1.38934,1.42836,3106,4079,10694,1735,748690
8/12/14 0:00,1.3468,1.35297,2805,3641,9671,1688,714799
8/19/14 0:00,1.25452,1.33093,2754,3296,9024,1622,678023
8/26/14 0:00,1.21636,1.28422,2593,2714,7913,1579,616171
9/2/14 0:00,1.16734,1.13889,2211,2345,6946,1505,609891
9/9/14 0:00,1.04654,1.10343,2109,2284,6744,1455,611184
9/16/14 0:00,0.943661,0.970748,1734,2046,5850,1459,602628
9/23/14 0:00,0.935046,0.998681,1897,1921,5913,1445,592081
9/30/14 0:00,0.934726,0.978057,1678,1701,5232,1417,534938
10/7/14 0:00,0.864118,0.866431,1546,1675,5116,1428,590468
10/14/14 0:00,0.806535,0.827757,1487,1609,4870,1411,588337
10/21/14 0:00,0.742747,0.797572,1383,1498,4626,1401,580010
10/28/14 0:00,0.737859,0.811221,1415,1459,4605,1352,567663
11/4/14 0:00,0.743224,0.821165,1392,1590,4753,1364,578812
11/11/14 0:00,0.805251,0.819435,1330,1667,4750,1340,579668
11/18/14 0:00,0.816943,0.848041,1429,1815,5173,1356,609994
11/25/14 0:00,0.814518,0.888524,1687,2033,5648,1362,635661
12/2/14 0:00,0.86067,0.962826,1636,2292,5963,1354,619323
12/9/14 0:00,0.886704,1.02252,1714,2169,5970,1349,583853
12/16/14 0:00,1.00845,1.08392,1993,2744,7062,1369,651524
12/23/14 0:00,1.06625,1.17724,2178,2947,7704,1367,654414
12/30/14 0:00,1.05995,1.1716,2170,2746,7626,1332,650904
1/6/15 0:00,1.22559,1.24325,2849,3693,10049,1963,808287
1/13/15 0:00,1.31066,1.3234,3016,4007,10715,1976,809660
1/20/15 0:00,1.3711,1.40399,3263,4360,11584,1995,825079
1/27/15 0:00,1.39171,1.37629,3141,4148,11164,1999,811165
2/3/15 0:00,1.43712,1.46866,3563,4783,12423,2048,845875
2/10/15 0:00,1.50165,1.533,3746,4725,12676,2028,826877
2/17/15 0:00,1.59805,1.60841,3960,5076,13484,2023,838344
2/24/15 0:00,1.89668,1.90047,3974,4073,12158,2000,639738
3/3/15 0:00,1.67728,1.73645,4469,5076,14617,2040,841777
3/10/15 0:00,1.78296,1.81945,4575,5384,14986,2020,823657
3/17/15 0:00,1.87336,1.96571,5135,5105,15396,2000,783227
3/24/15 0:00,2.32148,2.42021,5377,4317,14839,1978,613128
3/31/15 0:00,2.40991,2.41083,5700,4011,15679,1949,650356
4/7/15 0:00,1.94328,1.98859,4775,4494,15654,2004,787192
4/14/15 0:00,1.99796,1.98985,4574,5362,15517,2005,779809
4/21/15 0:00,2.11829,2.1071,4804,5380,15661,2008,743249
4/28/15 0:00,2.25112,2.19256,5088,6882,18143,2026,827482
5/5/15 0:00,2.37116,2.30014,5135,7353,18944,2007,823602
5/12/15 0:00,2.80035,2.67574,5645,8434,21774,2000,813755
5/19/15 0:00,3.16475,3.02427,5997,9325,24681,1993,816098
5/26/15 0:00,3.15183,3.11328,6299,10127,26423,1956,848718
6/2/15 0:00,3.3321,3.32788,6619,11415,28468,1952,855439
6/9/15 0:00,3.56024,3.5918,6660,11856,30481,1922,848628
6/16/15 0:00,3.05479,3.09262,5574,9334,24894,1898,804948
6/23/15 0:00,2.76732,2.78803,5187,8489,21940,1900,786936
6/30/15 0:00,2.44161,2.52371,4581,7392,19603,1832,776752
7/7/15 0:00,2.03348,2.12928,3707,6403,16769,1813,787543
7/14/15 0:00,1.98593,2.05142,3572,6595,16261,1805,792672
7/21/15 0:00,1.91514,1.98957,3515,6357,15437,1774,775895
7/28/15 0:00,1.69968,1.7858,3157,5557,13836,1759,774777
8/4/15 0:00,1.57635,1.60144,2772,4729,11870,1742,741210
8/11/15 0:00,1.3935,1.4743,2871,4046,10707,1690,726244
8/18/15 0:00,1.29941,1.42286,2688,3630,9798,1626,688612
8/25/15 0:00,1.18379,1.38196,2612,3126,8787,1439,635835
9/1/15 0:00,1.13723,1.33712,2545,2620,7997,1482,598077
9/8/15 0:00,1.04118,1.13894,2293,2313,7201,1446,632252
9/15/15 0:00,0.971814,1.09641,2189,2171,6768,1440,617287
9/22/15 0:00,0.863306,0.999559,2062,1905,6024,1402,602666
9/29/15 0:00,0.833797,0.99095,1873,1810,5686,1382,573793
10/6/15 0:00,0.784516,0.931253,1646,1641,5118,1379,549582
10/13/15 0:00,0.734327,0.843118,1610,1599,5078,1392,602288
10/20/15 0:00,0.698845,0.840286,1670,1621,5044,1388,600272
10/27/15 0:00,0.723099,0.830065,1580,1624,4925,1393,593327
11/3/15 0:00,0.663501,0.790428,1455,1496,4596,1360,581457
11/10/15 0:00,0.69276,0.830826,1512,1639,4868,1329,585923
11/17/15 0:00,0.710029,0.856796,1644,1914,5265,1345,614499
11/24/15 0:00,0.834232,1.00746,1848,2364,6260,1356,621362
12/1/15 0:00,0.992621,1.05868,1815,2651,6504,1354,614349
12/8/15 0:00,1.01605,1.10028,1883,2604,6623,1347,601938
12/15/15 0:00,1.07169,1.1457,2026,3073,7639,1365,666755
12/22/15 0:00,1.10163,1.2189,2341,3298,8229,1363,675119
12/29/15 0:00,1.18841,1.31113,2413,3334,8505,1389,648678
1/5/16 0:00,1.2019,1.27386,3110,4169,10864,1946,852842
1/12/16 0:00,1.23108,1.29342,3207,4078,10997,1973,850228
1/19/16 0:00,1.26796,1.33097,3564,4452,11926,1983,896035
1/26/16 0:00,1.36298,1.42662,3786,4769,12648,2006,886570
2/2/16 0:00,1.48535,1.57071,4314,5287,13790,1999,877947
2/9/16 0:00,1.55954,1.65146,4703,5193,14258,1990,863356
2/16/16 0:00,1.64783,1.73309,4979,5610,15160,2000,874739
2/23/16 0:00,1.91275,2.03388,5032,4567,14208,2011,698566
3/1/16 0:00,1.81725,1.88331,5209,5655,16605,2001,881694
3/8/16 0:00,1.91433,2.00292,5501,5812,16961,2013,846813
3/15/16 0:00,2.21003,2.27731,5744,6724,18463,2000,810736
3/22/16 0:00,2.73568,2.91465,6653,7469,21565,1977,739882
3/29/16 0:00,3.36832,3.54919,7712,7144,24900,1928,701569
4/5/16 0:00,3.09689,3.08102,6716,6786,24178,2024,784740
4/12/16 0:00,3.07346,3.01875,6020,8843,24897,1997,824746
4/19/16 0:00,3.51643,3.40446,6399,12147,28781,2029,845391
4/26/16 0:00,3.8027,3.52869,6958,14073,31265,2021,886023
5/3/16 0:00,4.50313,4.10665,7452,17482,36517,2024,889216
5/10/16 0:00,5.06308,4.7551,8110,20150,42890,2027,901978
5/17/16 0:00,4.86009,4.65163,7726,18692,41035,1967,882163
5/24/16 0:00,4.57916,4.57049,7649,17300,40124,1987,877892
5/31/16 0:00,3.55674,3.45522,6129,12394,30183,1995,873547
6/7/16 0:00,3.50417,3.29505,5854,11552,28060,1971,851580
6/14/16 0:00,3.21511,3.16426,5503,10084,25484,1958,805370
6/21/16 0:00,3.10088,3.14433,5514,11503,27354,1940,869946
6/28/16 0:00,2.79056,2.87936,5145,10149,24342,1899,845397
7/5/16 0:00,2.38547,2.36977,4488,8178,19677,1906,830332
7/12/16 0:00,1.9703,1.93853,3909,5847,15548,1861,802052
7/19/16 0:00,1.73442,1.64064,3306,4683,13006,1845,792740
7/26/16 0:00,1.56303,1.4752,2997,4497,11924,1846,808298
8/2/16 0:00,1.4128,1.37755,2890,4105,10762,1795,781240
8/9/16 0:00,1.27492,1.33771,2751,3831,10202,1767,762648
8/16/16 0:00,1.2834,1.34686,2685,3518,9809,1746,728288
8/23/16 0:00,1.16663,1.26579,2341,3060,8564,1614,676574
8/30/16 0:00,1.10977,1.25701,2311,2575,7756,1569,617021
9/6/16 0:00,1.04333,1.16048,2412,2377,7510,1493,647145
9/13/16 0:00,0.905151,1.04834,2049,2099,6636,1470,633003
9/20/16 0:00,0.902718,0.992711,1930,1971,6240,1469,628582
9/27/16 0:00,0.859531,0.961603,1771,1748,5596,1422,581945
10/4/16 0:00,0.818998,0.955818,1728,1564,5326,1456,557219
10/11/16 0:00,0.752505,0.827597,1545,1578,4961,1405,599446
10/18/16 0:00,0.731146,0.811886,1549,1421,4747,1384,584688
10/25/16 0:00,0.733295,0.818527,1576,1515,4879,1377,596071
11/1/16 0:00,0.73102,0.829758,1529,1485,4899,1390,590413
11/8/16 0:00,0.68834,0.828503,1559,1481,4915,1386,593239
11/15/16 0:00,0.732049,0.885896,1603,1691,5230,1350,590363
11/22/16 0:00,0.911188,1.05351,1964,2549,6653,1379,631507
11/29/16 0:00,1.02105,1.11768,2076,2726,7133,1370,638196
12/6/16 0:00,1.09495,1.14028,2073,2488,7072,1384,620201
12/13/16 0:00,1.09475,1.13326,2372,2942,8304,1485,732755
12/20/16 0:00,1.09775,1.17589,2544,3075,8563,1484,728214
12/27/16 0:00,1.18882,1.23848,2840,3201,9079,1468,733077
1/3/17 0:00,1.26589,1.2802,3849,4556,12839,2220,1002892
1/10/17 0:00,1.30479,1.33123,4118,4453,13267,2245,996595
1/17/17 0:00,1.34075,1.40786,4408,4993,14319,2266,1017076
1/24/17 0:00,1.51674,1.5722,5006,5531,15832,2266,1006998
1/31/17 0:00,1.74583,1.70326,5219,6134,17069,2222,1002140
2/7/17 0:00,1.88708,1.86636,6126,6671,19057,2288,1021079
2/14/17 0:00,2.05923,2.07647,6880,7577,21892,2296,1054290
2/21/17 0:00,2.27971,2.33593,6945,5875,19816,2271,848314
2/28/17 0:00,2.28379,2.24637,7008,7474,23752,2279,1057350
3/7/17 0:00,2.58278,2.49504,7229,8488,24955,2272,1000183
3/14/17 0:00,3.36558,3.2005,8285,11259,31502,2262,984283
3/21/17 0:00,4.73117,4.43807,10447,14166,42782,2211,963978
3/28/17 0:00,5.70943,5.46361,11335,11540,45255,2132,828299
4/4/17 0:00,5.74658,5.35765,9410,11717,47269,2243,882271
4/11/17 0:00,5.89207,5.52437,10053,17357,56761,2257,1027466
4/18/17 0:00,6.51759,6.34528,11997,21897,63036,2286,993431
4/25/17 0:00,7.16338,7.01811,13408,30625,77326,2288,1101807
5/2/17 0:00,7.52133,7.7809,14844,37200,85985,2275,1105078
5/9/17 0:00,7.38748,7.76939,15192,38606,87825,2299,1130397
5/16/17 0:00,6.44688,6.81176,13365,32124,76210,2227,1118800
5/23/17 0:00,4.95881,5.15749,10154,20450,53025,2272,1028116
5/30/17 0:00,3.68612,3.55945,7208,13392,36064,2208,1013191
6/6/17 0:00,3.18626,3.00518,6368,10850,29133,2214,969427
6/13/17 0:00,2.76894,2.73038,5588,9468,25938,2201,949978
